node,node_name,category,asset_type,asset_id,data_model_id,data_model_name,data_pool_id,data_pool_name
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.task_id_target,lineage_mapping.task_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.task_name_target,lineage_mapping.task_name_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.last_step_complete_execution_status,lineage_mapping.last_step_complete_execution_status,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.end_time_logs_step_level,lineage_mapping.end_time_logs_step_level,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.data_pool_id_target,lineage_mapping.data_pool_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.job_execution_item_id_target,lineage_mapping.job_execution_item_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.scheduling_name_target,lineage_mapping.scheduling_name_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.schedule_execution_item_id_target,lineage_mapping.schedule_execution_item_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.data_job_name_target,lineage_mapping.data_job_name_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.end_time_logs_task_level,lineage_mapping.end_time_logs_task_level,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.node_name_target,lineage_mapping.node_name_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.data_pool_name_source,lineage_mapping.data_pool_name_source,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.start_time_logs_task_level,lineage_mapping.start_time_logs_task_level,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.start_time_logs_step_level,lineage_mapping.start_time_logs_step_level,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.last_execution_complete_status,lineage_mapping.last_execution_complete_status,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.task_id_target_for_url,lineage_mapping.task_id_target_for_url,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.task_execution_item_id_target,lineage_mapping.task_execution_item_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
