source_node,target_node,task_target,data_pool_id,data_pool_name,data_model_id,data_model_name
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.mandt,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.kkber,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.kkber,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.knkli,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.knkli,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.cmwae,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.cmwae,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.total_open_sales_order_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.total_open_sales_order_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.total_guaranteed_open_sales_order_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.total_guaranteed_open_sales_order_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.mandt,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.mandt,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.kkber,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.kkber,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.knkli,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.knkli,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.cmwae,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.cmwae,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
